RTT2=180.9	RTT=45.225	PING=60.3
RTT2=568.692923077	RTT=170.169244444	PING=220
RTT2=566.520245399	RTT=62.642311111	PING=26.8
RTT2=567.182874618	RTT=218.160577778	PING=270
RTT2=566.240243902	RTT=186.540144444	PING=176
RTT2=564.639817629	RTT=100.560036111	PING=71.9
RTT2=562.903636364	RTT=41.0400090278	PING=21.2
RTT2=563.187311178	RTT=179.760002257	PING=226
RTT2=562.391566265	RTT=176.190000564	PING=175
RTT2=564.276276276	RTT=385.297500141	PING=455
RTT2=565.01497006	RTT=412.824375035	PING=422
RTT2=564.91641791	RTT=341.706093759	PING=318
RTT2=565.735119048	RTT=374.92652344	PING=386
RTT2=569.089020772	RTT=614.23163086	PING=694
RTT2=568.227810651	RTT=396.557907715	PING=324
RTT2=568.914454277	RTT=380.389476929	PING=375
RTT2=568.626470588	RTT=306.597369232	PING=282
RTT2=568.005865103	RTT=236.399342308	PING=213
RTT2=567.011695906	RTT=169.349835577	PING=147
RTT2=565.662973761	RTT=105.187458894	PING=83.8
RTT2=567.010465116	RTT=304.546864724	PING=371
RTT2=567.630724638	RTT=364.136716181	PING=384
RTT2=569.250289017	RTT=469.034179045	PING=504
RTT2=566.930259366	RTT=184.308544761	PING=89.4
RTT2=566.544252874	RTT=176.57713619	PING=174
RTT2=565.30773639	RTT=121.394284048	PING=103
RTT2=566.226857143	RTT=277.848571012	PING=330
RTT2=565.04957265	RTT=190.212142753	PING=161
RTT2=565.160227273	RTT=238.803035688	PING=255
RTT2=564.502549575	RTT=206.700758922	PING=196
RTT2=564.701694915	RTT=259.425189731	PING=277
RTT2=568.229295775	RTT=588.356297433	PING=698
RTT2=566.897191011	RTT=345.089074358	PING=264
RTT2=567.2	RTT=321.02226859	PING=313
RTT2=566.459217877	RTT=234.005567147	PING=205
RTT2=568.045682451	RTT=393.751391787	PING=447
RTT2=566.684444444	RTT=229.687847947	PING=175
RTT2=567.505263158	RTT=316.921961987	PING=346
RTT2=566.034254144	RTT=174.480490497	PING=127
RTT2=568.348209366	RTT=426.870122624	PING=511
RTT2=567.690659341	RTT=316.717530656	PING=280
RTT2=566.280547945	RTT=162.429382664	PING=111
RTT2=566.593989071	RTT=238.607345666	PING=264
RTT2=567.003814714	RTT=304.901836417	PING=327
RTT2=564.908695652	RTT=106.975459104	PING=41.0
RTT2=563.46097561	RTT=44.668864776	PING=23.9
RTT2=562.096486486	RTT=31.792216194	PING=27.5
RTT2=560.972237197	RTT=51.0730540485	PING=57.5
RTT2=560.132258065	RTT=89.2682635121	PING=102
RTT2=558.557372654	RTT=40.992065878	PING=24.9
RTT2=557.517112299	RTT=58.8480164695	PING=64.8
RTT2=556.0016	RTT=28.2120041174	PING=18.0
RTT2=555.975	RTT=148.053001029	PING=188
RTT2=554.302387268	RTT=65.3632502573	PING=37.8
RTT2=553.427248677	RTT=81.6658125643	PING=87.1
RTT2=551.932717678	RTT=38.9414531411	PING=24.7
RTT2=550.558947368	RTT=23.3853632853	PING=18.2
RTT2=549.216535433	RTT=20.1713408213	PING=19.1
RTT2=547.955759162	RTT=26.7178352053	PING=28.9
RTT2=548.118015666	RTT=166.429458801	PING=213
RTT2=546.378125	RTT=64.8573647003	PING=31.0
RTT2=547.114805195	RTT=231.464341175	PING=287
RTT2=556.316580311	RTT=1154.36608529	PING=1462
RTT2=554.690439276	RTT=635.841521323	PING=463
RTT2=552.634278351	RTT=213.935380331	PING=73.3
RTT2=551.297429306	RTT=79.9588450827	PING=35.3
RTT2=549.967179487	RTT=36.9397112707	PING=22.6
RTT2=548.647826087	RTT=23.4099278177	PING=18.9
RTT2=547.421173469	RTT=27.5274819544	PING=28.9
RTT2=546.318066158	RTT=42.5818704886	PING=47.6
RTT2=544.989593909	RTT=28.2704676222	PING=23.5
RTT2=543.679493671	RTT=19.8176169055	PING=17.0
RTT2=544.392424242	RTT=215.704404226	PING=281
RTT2=542.779596977	RTT=100.201101057	PING=61.7
RTT2=541.405527638	RTT=39.4502752641	PING=19.2
RTT2=540.125313283	RTT=22.312568816	PING=16.6
RTT2=539.3035	RTT=62.578142204	PING=76.0
RTT2=538.54713217	RTT=93.644535551	PING=104
RTT2=537.318159204	RTT=60.5361338878	PING=49.5
RTT2=536.44044665	RTT=73.4090334719	PING=77.7
RTT2=539.063861386	RTT=436.852258368	PING=558
RTT2=537.029135802	RTT=177.463064592	PING=91.0
RTT2=535.820689655	RTT=78.715766148	PING=45.8
RTT2=534.53022113	RTT=33.778941537	PING=18.8
RTT2=536.240196078	RTT=321.194735384	PING=417
RTT2=534.943765281	RTT=186.048683846	PING=141
RTT2=534.107317073	RTT=129.762170962	PING=111
RTT2=533.95377129	RTT=177.94054274	PING=194
RTT2=542.388349515	RTT=1095.23513569	PING=1401
RTT2=542.338983051	RTT=754.558783921	PING=641
RTT2=540.184299517	RTT=261.46469598	PING=97.1
RTT2=540.383614458	RTT=245.366173995	PING=240
RTT2=538.802644231	RTT=92.0165434988	PING=40.9
RTT2=537.66498801	RTT=49.3291358747	PING=35.1
RTT2=536.699521531	RTT=54.6322839687	PING=56.4
RTT2=535.445107399	RTT=30.5330709922	PING=22.5
RTT2=534.291666667	RTT=26.008267748	PING=24.5
RTT2=533.205225653	RTT=31.852066937	PING=33.8
RTT2=532.309478673	RTT=55.2130167343	PING=63.0
RTT2=533.795744681	RTT=319.803254184	PING=408
RTT2=537.447169811	RTT=702.450813546	PING=830
RTT2=537.152	RTT=486.112703386	PING=414
RTT2=535.862910798	RTT=222.028175847	PING=134
RTT2=534.552693208	RTT=83.1070439617	PING=36.8
RTT2=533.444859813	RTT=45.0767609904	PING=32.4
RTT2=532.272027972	RTT=26.9441902476	PING=20.9
RTT2=532.290232558	RTT=146.986047562	PING=187
RTT2=533.19675174	RTT=314.24651189	PING=370
RTT2=534.571296296	RTT=452.811627973	PING=499
RTT2=540.352886836	RTT=997.452906993	PING=1179
RTT2=551.660829493	RTT=1906.11322675	PING=2209
RTT2=548.32137931	RTT=803.528306687	PING=436
RTT2=551.066055046	RTT=746.132076672	PING=727
RTT2=549.871395881	RTT=375.533019168	PING=252
RTT2=549.198173516	RTT=220.633254792	PING=169
RTT2=550.616856492	RTT=390.408313698	PING=447
RTT2=551.131363636	RTT=403.602078424	PING=408
RTT2=551.759183673	RTT=409.900519606	PING=412
RTT2=551.743891403	RTT=341.725129902	PING=319
RTT2=556.421670429	RTT=821.181282475	PING=981
RTT2=559.661711712	RTT=949.295320619	PING=992
RTT2=562.377078652	RTT=927.323830155	PING=920
RTT2=565.214798206	RTT=918.830957539	PING=916
RTT2=569.941387025	RTT=1128.20773938	PING=1198
RTT2=571.50625	RTT=899.301934846	PING=823
RTT2=576.645434298	RTT=1150.32548371	PING=1234
RTT2=582.448444444	RTT=1393.08137093	PING=1474
RTT2=595.549445676	RTT=2339.52034273	PING=2655
